benchmark              pass                 MDE                     MEE                     delta                    delta %
levenshtein            copyrename           0.29333125              0.293519125             0.000187875000000004     0.06404875034623962%
edn                    copyrename           0.140675625             0.14076687499999999     9.124999999998717e-05    0.0648655372954534%
crc32                  fre                  0.1720805               0.17219362500000002     0.00011312500000001946   0.06573958118439885%
jfdctint               fre                  0.175281375             0.175396875             0.00011550000000001837   0.06589405177818713%
nettle-arcfour         ccp                  0.15216099999999996     0.15226299999999998     0.00010200000000001874   0.06703425976434091%
dijkstra               copyrename           0.154634625             0.15474137500000001     0.00010675000000001655   0.06903369798324052%
sglib-listinsertsort1  copyrename           0.188898375             0.18903150000000002     0.0001331250000000117    0.0704744019105573%
lcdnum                 copyrename           0.018992375000000002    0.019006                1.3624999999996279e-05   0.07173931643618177%
gdb-constvars          ccp                  0.034715                0.03474                 2.4999999999997247e-05   0.07201497911564811%
newlib-sqrt            fre                  0.198257375             0.19840075              0.00014337499999997338   0.07231761239649893%
crc                    copyprop             0.190926125             0.19107037500000001     0.00014425000000001242   0.07555278252256595%
newlib-mod             ccp                  0.040178874999999996    0.040209375             3.0500000000002747e-05   0.07591053756483414%
newlib-mod             copyrename           0.040178500000000006    0.040209749999999995    3.124999999998962e-05    0.07777791604960269%
newlib-exp             fre                  0.13219787500000002     0.13230225              0.00010437499999998989   0.07895361404257813%
prime                  fre                  0.09702374999999999     0.09710074999999999     7.699999999999374e-05    0.07936201187852845%
ctl-string             fre                  0.13325975              0.13336562500000002     0.00010587500000000527   0.07945009652202203%
gdb-constvars          copyrename           0.034713625             0.034741375000000005    2.7750000000006936e-05   0.07993979309278976%
bubblesort             copyprop             0.16040075              0.16052975000000003     0.000129000000000018     0.08042356410429376%
gdb-advance            fre                  0.0069863749999999995   0.006992                5.625000000000421e-06    0.08051385732945085%
fft                    fre                  0.002011125             0.00201275              1.625000000000324e-06    0.08080054695756475%
nbody                  ccp                  0.17274475              0.17288562500000001     0.00014087500000001252   0.08155095885693343%
ud                     fre                  0.128129625             0.128234875             0.00010525000000000118   0.08214337628788126%
fac                    copyrename           0.101206375             0.101291                8.462500000000484e-05    0.08361627417245686%
cover                  fre                  0.152956375             0.15308549999999999     0.00012912499999997995   0.08441949542801334%
levenshtein            fre                  0.293301                0.293549375             0.0002483750000000229    0.08468262978988238%
fdct                   fre                  0.16249687499999996     0.16263562499999998     0.0001387500000000208    0.08538625742804029%
tarai                  cddce                0.05420425              0.05425075              4.649999999999793e-05    0.08578663112209453%
qurt                   ccp                  0.165587875             0.16573                 0.00014212499999999295   0.08583055975565419%
bubblesort             ccp                  0.16039525              0.16053525000000002     0.000140000000000029     0.08728438030429767%
lms                    copyprop             0.46316875              0.46357349999999997     0.00040474999999995376   0.08738715640896623%
tarai                  fre                  0.05420325              0.05425175000000001     4.850000000000687e-05    0.08947802945396609%
gdb-constvars          early_optimizations  0.034711875             0.034743125             3.124999999999656e-05    0.09002682799473251%
ndes                   copyrename           0.180343625             0.180507375             0.0001637499999999903    0.09079888462926831%
ludcmp                 ccp                  0.185420875             0.18559187500000002     0.00017100000000000448   0.09222262595837954%
sglib-dllist           early_optimizations  0.16054562500000003     0.160694875             0.0001492499999999619    0.09296422745868153%
fft                    ccp                  0.0020109999999999998   0.0020128750000000003   1.8750000000005741e-06   0.09323719542519017%
crc                    ccp                  0.190908                0.1910885               0.0001805000000000001    0.09454815932281524%
sglib-queue            fre                  0.18224262500000002     0.18241537500000002     0.0001727499999999993    0.0947912158310929%
ludcmp                 copyrename           0.18541700000000003     0.18559575              0.00017874999999997754   0.09640432107087134%
gdb-bitfields          ccp                  0.022013249999999998    0.022034625000000002    2.137500000000403e-05    0.09710060985998901%
aha-mont64             early_optimizations  0.16817349999999998     0.16833775000000004     0.00016425000000006018   0.09766699271886486%
bs                     esra                 0.010827625             0.010838249999999999    1.0624999999998483e-05   0.0981286293162026%
sglib-dllist           fre                  0.160540875             0.16069962499999998     0.0001587499999999853    0.09888447412534987%
sglib-dllist           copyrename           0.16054000000000002     0.1607005               0.0001604999999999801    0.09997508409117983%
sqrt                   copyrename           0.0118665               0.011878374999999998    1.1874999999997998e-05   0.10007163021950868%
fibcall                ccp                  0.0475155               0.047563375000000005    4.7875000000002776e-05   0.10075659521630367%
edn                    fre                  0.14064975000000002     0.14079275              0.00014299999999997648   0.10167099479378844%
fdct                   early_optimizations  0.16248337499999999     0.162649125             0.00016575000000002005   0.10201043645235708%
stb_perlin             copyprop             0.038323125             0.038362625             3.949999999999787e-05    0.10307092649672456%
st                     copyprop             0.04846725              0.048518124999999995    5.08749999999919e-05     0.10496778752661208%
aha-compress           fre                  0.149487                0.149649125             0.0001621249999999852    0.10845424685757636%
jfdctint               ccp                  0.175243875             0.175434375             0.0001905000000000101    0.10870565376393904%
gdb-advance            copyrename           0.006985375             0.006993                7.624999999999819e-06    0.10915663081795636%
sglib-listsort         copyrename           0.129182                0.12932475              0.00014274999999999705   0.11050301125543578%
lms                    fre                  0.4631116249999999      0.46363062499999996     0.0005190000000000472    0.11206801384008602%
prime                  ccp                  0.09700737499999999     0.097117125             0.00010975000000000568   0.11313572808253566%
gdb-bitfields          fre                  0.022011375             0.0220365               2.512500000000084e-05    0.11414552702864243%
qurt                   fre                  0.165560625             0.16575725              0.00019662500000000582   0.1187631419004403%
fasta                  ccp                  0.181105875             0.181321375             0.00021550000000000735   0.11899117022018603%
gdb-bitfields          copyrename           0.022010375000000002    0.0220375               2.7124999999999372e-05   0.12323733693769129%
minver                 copyrename           0.192554375             0.192795625             0.0002412499999999984    0.12528928516944807%
ud                     ccp                  0.128101875             0.12826262500000002     0.00016075000000001505   0.1254860633382728%
ctl-vector             fre                  0.22000325              0.22028899999999996     0.00028574999999994577   0.12988444488885767%
aha-mont64             ccp                  0.16814637500000001     0.168364875             0.0002184999999999826    0.1299463042245083%
fft                    cddce                0.0020106250000000003   0.00201325              2.6249999999995895e-06   0.1305564190239149%
mergesort              copyrename           0.054400250000000004    0.054471500000000006    7.125000000000187e-05    0.13097366280486183%
cover                  copyprop             0.15291849999999998     0.15312337499999998     0.00020487499999999326   0.13397659537596385%
sglib-arraysort1       early_optimizations  0.269468625             0.26983475              0.0003661249999999949    0.13586925008430756%
wikisort               einline              0.001100125             0.001101625             1.4999999999999823e-06   0.13634814225656014%
statemate              ccp                  0.04455725000000001     0.044618125             6.087499999999496e-05    0.13662198632095776%
ctl-string             ccp                  0.1332215               0.133403875             0.0001823750000000124    0.13689607158004705%
crc                    early_optimizations  0.19086575              0.19113075000000002     0.0002650000000000152    0.13884104403226624%
nettle-md5             early_optimizations  0.15294525              0.15315824999999997     0.00021299999999996322   0.13926552148560561%
cubic                  einline              0.002224                0.002227125             3.1250000000000895e-06   0.1405125899280616%
