benchmark             pass                 U       p
fasta                 profile              1142.0  0.47225105059019407
fasta                 profile_estimate     829.0   0.38517694552181575
fasta                 release_ssa          1056.0  0.24202965408876115
fasta                 switchconv           1124.0  0.420149976332755
fasta                 tailr                1080.0  0.30016516899521956
fasta                 tmipa                1056.0  0.24202965408876115
fasta                 whole-program        1052.0  0.23297050349913667
fdct                  ccp                  1043.0  0.21329283995601267
fdct                  cddce                1061.0  0.25361708698096674
fdct                  cdtor                1081.0  0.3027184413513543
fdct                  copyprop             950.0   0.06990252396039197
fdct                  copyrename           1010.0  0.1499006442600916
fdct                  cp                   1133.0  0.4460841095264599
fdct                  devirt               1124.0  0.420149976332755
fdct                  ealias               1124.0  0.420149976332755
fdct                  early_optimizations  828.0   0.008882304740187145
fdct                  ehcleanup            977.0   0.10050639839428688
fdct                  einline              911.0   0.03900973748017049
fdct                  eipa_sra             1078.0  0.29508807338129317
fdct                  emutls               997.0   0.12879224604336298
fdct                  esra                 1097.0  0.34481552025061735
fdct                  fnsplit              841.0   0.0114460967064864
fdct                  forwprop             825.0   0.008367672539803313
fdct                  fre                  842.0   0.01166760806340095
fdct                  increase_alignment   513.0   1.443556471496311e-06
fdct                  inline               944.0   0.06419479176343351
fdct                  inline_param         810.0   0.32539133251451857
fdct                  local-pure-const     988.0   0.11544537627703144
fdct                  mergephi             993.0   0.12273367580602912
fdct                  profile              1136.0  0.4547860603284438
fdct                  profile_estimate     613.0   0.017022634501294535
fdct                  release_ssa          949.0   0.06892501906408724
fdct                  switchconv           993.0   0.12273367580602912
fdct                  tailr                1132.0  0.4431890097338998
fdct                  tmipa                696.0   0.00042232076718717377
fdct                  whole-program        1015.0  0.15860167209009413
fft                   ccp                  622.0   5.2232534799270147e-05
fft                   cddce                769.0   0.0025329093414177563
